Player: Christian Abbiati, Season: Total
Player: Eric Abidal, Season: 
Player: Eric Abidal, Season: Total
Player: Adriano, Season: Total
Player: Berry van Aerle, Season: 
Player: Berry van Aerle, Season: Total
Player: Ibrahim Afellay, Season: Total
Player: David Aganzo, Season: 
Player: David Aganzo, Season: Total
Player: José Águas, Season: Total
Player: Demetrio Albertini, Season: 
Player: Demetrio Albertini, Season: Total
Player: Thiago Alcântara, Season: Total
Player: José Ramón Alexanko, Season: 
Player: José Ramón Alexanko, Season: 
Player: José Ramón Alexanko, Season: Total
Player: Juan Alonso, Season: 
Player: Marcos Alonso, Season: 
Player: Marcos Alonso, Season: 
Player: Xabi Alonso, Season: Total
Player: José Altafini, Season: Total
Player: Dani Alves, Season: Total
Player: Amancio, Season: Total
Player: José Amavisca, Season: 
Player: José Amavisca, Season: Total
Player: Massimo Ambrosini, Season: Total
Player: Guillermo Amor, Season: Total
Player: Carlo Ancelotti, Season: Total
Player: Anderson, Season: Total
Player: Viv Anderson, Season: Total
Player: Patrik Andersson, Season: Total
Player: Patrik Andersson, Season: 1987–88
Player: Patrik Andersson, Season: 1989–91
Player: Patrik Andersson, Season: 1990–92
Player: António André, Season: Total
Player: Nicolas Anelka, Season: Total
Player: Ângelo Martins, Season: 
Player: Jocelyn Angloma, Season: Total
Player: Angelo Anquilletti, Season: Total
Player: Carlos Aranda, Season: 
Player: Carlos Aranda, Season: Total
Player: José Araquistáin, Season: 
Player: José Araquistáin, Season: 
Player: José Araquistáin, Season: Total
Player: Álvaro Arbeloa, Season: Total
Player: Frank Arnesen, Season: Total
Player: John Aston Jr., Season: Total
Player: Ángel Atienza, Season: Total
Player: Bertie Auld, Season: 
Player: Bertie Auld, Season: Total
Player: Holger Badstuber, Season: Total
Player: Vítor Baía, Season: 
Player: Vítor Baía, Season: Total
Player: José Mari Bakero, Season: 
Player: José Mari Bakero, Season: Total
Player: Lucian Bălan, Season: Total
Player: Gareth Bale, Season: 
Player: Gareth Bale, Season: Total
Player: Gabi Balint, Season: Total
Player: Elvir Baljić, Season: Total
Player: Ilie Bărbulescu, Season: Total
Player: Milan Baroš, Season: Total
Player: Fabien Barthez, Season: Total
Player: Franz Beckenbauer, Season: Total
Player: David Beckham, Season: Position(s)
Player: David Beckham, Season: 
Player: David Beckham, Season: Total
Player: David Beckham, Season: Website
Player: Gianfranco Bedin, Season: 
Player: Wolfgang de Beer, Season: 
Player: Txiki Begiristain, Season: 
Player: Txiki Begiristain, Season: 
Player: Txiki Begiristain, Season: Total
Player: Juliano Belletti, Season: Total
Player: Miodrag Belodedici, Season: Total
Player: Henning Berg, Season: Total
Player: Ryan Bertrand, Season: Total
Player: George Best, Season: Total
Player: Garry Birtles, Season: 
Player: Garry Birtles, Season: 
Player: Garry Birtles, Season: Total
